semester,category,comments_cnt,comments_prop,year
20184,"Assessments, Assignments & Grading",9,0.1956521739130435,2018
20184,Course Content & Materials,16,0.34782608695652173,2018
20184,"Course Technology, Organization & Logistics",1,0.021739130434782608,2018
20184,"Instructor's Communication, Feedback & Support",9,0.1956521739130435,2018
20184,Instructor's Teaching Approach & Expertise,4,0.08695652173913043,2018
20184,Learning Outcomes & Course Value,5,0.10869565217391304,2018
20184,Overall impression: course,2,0.043478260869565216,2018
20191,Other,7,0.2916666666666667,2019
20191,Learning Outcomes & Course Value,1,0.041666666666666664,2019
20191,Instructor's Teaching Approach & Expertise,3,0.125,2019
20191,Course Content & Materials,6,0.25,2019
20191,"Course Technology, Organization & Logistics",1,0.041666666666666664,2019
20191,"Assessments, Assignments & Grading",3,0.125,2019
20191,"Instructor's Communication, Feedback & Support",3,0.125,2019
20193,Learning Outcomes & Course Value,4,0.125,2019
20193,Overall impression: course,3,0.09375,2019
20193,Other,2,0.0625,2019
20193,Instructor's Teaching Approach & Expertise,2,0.0625,2019
20193,"Course Technology, Organization & Logistics",1,0.03125,2019
20193,Course Content & Materials,9,0.28125,2019
20193,"Assessments, Assignments & Grading",8,0.25,2019
20193,"Instructor's Communication, Feedback & Support",3,0.09375,2019
20194,"Assessments, Assignments & Grading",7,0.12962962962962962,2019
20194,Course Content & Materials,21,0.3888888888888889,2019
20194,"Course Technology, Organization & Logistics",7,0.12962962962962962,2019
20194,"Instructor's Communication, Feedback & Support",1,0.018518518518518517,2019
20194,Instructor's Teaching Approach & Expertise,9,0.16666666666666666,2019
20194,Learning Outcomes & Course Value,4,0.07407407407407407,2019
20194,Other,2,0.037037037037037035,2019
20194,Overall impression: course,2,0.037037037037037035,2019
20194,Overall impression: instructor,1,0.018518518518518517,2019
20202,Learning Outcomes & Course Value,1,0.08333333333333333,2020
20202,"Instructor's Communication, Feedback & Support",2,0.16666666666666666,2020
20202,"Course Technology, Organization & Logistics",1,0.08333333333333333,2020
20202,Course Content & Materials,3,0.25,2020
20202,"Assessments, Assignments & Grading",5,0.4166666666666667,2020
20203,"Assessments, Assignments & Grading",13,0.19696969696969696,2020
20203,Course Content & Materials,18,0.2727272727272727,2020
20203,"Course Technology, Organization & Logistics",9,0.13636363636363635,2020
20203,"Instructor's Communication, Feedback & Support",6,0.09090909090909091,2020
20203,Instructor's Teaching Approach & Expertise,6,0.09090909090909091,2020
20203,Learning Outcomes & Course Value,2,0.030303030303030304,2020
20203,Other,6,0.09090909090909091,2020
20203,Overall impression: course,4,0.06060606060606061,2020
20203,Overall impression: instructor,2,0.030303030303030304,2020
20204,Overall impression: course,1,0.038461538461538464,2020
20204,Instructor's Teaching Approach & Expertise,4,0.15384615384615385,2020
20204,Overall impression: instructor,1,0.038461538461538464,2020
20204,"Course Technology, Organization & Logistics",7,0.2692307692307692,2020
20204,Course Content & Materials,7,0.2692307692307692,2020
20204,"Instructor's Communication, Feedback & Support",6,0.23076923076923078,2020
20212,Course Content & Materials,1,0.16666666666666666,2021
20212,"Course Technology, Organization & Logistics",2,0.3333333333333333,2021
20212,Instructor's Teaching Approach & Expertise,2,0.3333333333333333,2021
20212,Overall impression: course,1,0.16666666666666666,2021
20213,Overall impression: instructor,5,0.08928571428571429,2021
20213,Overall impression: course,4,0.07142857142857142,2021
20213,Other,3,0.05357142857142857,2021
20213,Learning Outcomes & Course Value,3,0.05357142857142857,2021
20213,"Course Technology, Organization & Logistics",5,0.08928571428571429,2021
20213,"Instructor's Communication, Feedback & Support",6,0.10714285714285714,2021
20213,Course Content & Materials,8,0.14285714285714285,2021
20213,"Assessments, Assignments & Grading",9,0.16071428571428573,2021
20213,Instructor's Teaching Approach & Expertise,13,0.23214285714285715,2021
20214,Other,2,0.041666666666666664,2021
20214,Overall impression: instructor,4,0.08333333333333333,2021
20214,Overall impression: course,2,0.041666666666666664,2021
20214,Learning Outcomes & Course Value,4,0.08333333333333333,2021
20214,Instructor's Teaching Approach & Expertise,4,0.08333333333333333,2021
20214,"Instructor's Communication, Feedback & Support",4,0.08333333333333333,2021
20214,"Course Technology, Organization & Logistics",6,0.125,2021
20214,Course Content & Materials,15,0.3125,2021
20214,"Assessments, Assignments & Grading",7,0.14583333333333334,2021
20222,"Assessments, Assignments & Grading",7,0.23333333333333334,2022
20222,Course Content & Materials,8,0.26666666666666666,2022
20222,"Course Technology, Organization & Logistics",5,0.16666666666666666,2022
20222,"Instructor's Communication, Feedback & Support",2,0.06666666666666667,2022
20222,Instructor's Teaching Approach & Expertise,2,0.06666666666666667,2022
20222,Learning Outcomes & Course Value,2,0.06666666666666667,2022
20222,Overall impression: course,1,0.03333333333333333,2022
20222,Overall impression: instructor,3,0.1,2022
20223,Overall impression: instructor,3,0.06382978723404255,2022
20223,Overall impression: course,3,0.06382978723404255,2022
20223,Other,1,0.02127659574468085,2022
20223,Instructor's Teaching Approach & Expertise,6,0.1276595744680851,2022
20223,Learning Outcomes & Course Value,2,0.0425531914893617,2022
20223,"Course Technology, Organization & Logistics",8,0.1702127659574468,2022
20223,Course Content & Materials,11,0.23404255319148937,2022
20223,"Assessments, Assignments & Grading",5,0.10638297872340426,2022
20223,"Instructor's Communication, Feedback & Support",8,0.1702127659574468,2022
20224,Overall impression: course,3,0.11538461538461539,2022
20224,"Assessments, Assignments & Grading",5,0.19230769230769232,2022
20224,Course Content & Materials,10,0.38461538461538464,2022
20224,"Instructor's Communication, Feedback & Support",2,0.07692307692307693,2022
20224,Instructor's Teaching Approach & Expertise,4,0.15384615384615385,2022
20224,Learning Outcomes & Course Value,1,0.038461538461538464,2022
20224,Overall impression: instructor,1,0.038461538461538464,2022
20232,"Assessments, Assignments & Grading",3,0.42857142857142855,2023
20232,Course Content & Materials,2,0.2857142857142857,2023
20232,Instructor's Teaching Approach & Expertise,1,0.14285714285714285,2023
20232,Overall impression: instructor,1,0.14285714285714285,2023
20233,Other,5,0.08771929824561403,2023
20233,Learning Outcomes & Course Value,1,0.017543859649122806,2023
20233,Overall impression: instructor,1,0.017543859649122806,2023
20233,Instructor's Teaching Approach & Expertise,5,0.08771929824561403,2023
20233,Course Content & Materials,25,0.43859649122807015,2023
20233,"Course Technology, Organization & Logistics",6,0.10526315789473684,2023
20233,"Assessments, Assignments & Grading",7,0.12280701754385964,2023
20233,"Instructor's Communication, Feedback & Support",7,0.12280701754385964,2023
20234,"Assessments, Assignments & Grading",11,0.39285714285714285,2023
20234,Course Content & Materials,7,0.25,2023
20234,"Course Technology, Organization & Logistics",3,0.10714285714285714,2023
20234,"Instructor's Communication, Feedback & Support",4,0.14285714285714285,2023
20234,Instructor's Teaching Approach & Expertise,1,0.03571428571428571,2023
20234,Other,2,0.07142857142857142,2023
20242,Learning Outcomes & Course Value,1,0.5,2024
20242,Other,1,0.5,2024
20243,Overall impression: course,1,0.07142857142857142,2024
20243,Learning Outcomes & Course Value,1,0.07142857142857142,2024
20243,Other,1,0.07142857142857142,2024
20243,Course Content & Materials,7,0.5,2024
20243,"Assessments, Assignments & Grading",3,0.21428571428571427,2024
20243,"Course Technology, Organization & Logistics",1,0.07142857142857142,2024
20244,"Assessments, Assignments & Grading",3,0.3333333333333333,2024
20244,"Instructor's Communication, Feedback & Support",3,0.3333333333333333,2024
20244,Learning Outcomes & Course Value,2,0.2222222222222222,2024
20244,Other,1,0.1111111111111111,2024
20252,Other,1,0.08333333333333333,2025
20252,Instructor's Teaching Approach & Expertise,2,0.16666666666666666,2025
20252,"Instructor's Communication, Feedback & Support",2,0.16666666666666666,2025
20252,Course Content & Materials,3,0.25,2025
20252,"Assessments, Assignments & Grading",2,0.16666666666666666,2025
20252,"Course Technology, Organization & Logistics",2,0.16666666666666666,2025
20253,"Instructor's Communication, Feedback & Support",1,0.125,2025
20253,"Assessments, Assignments & Grading",3,0.375,2025
20253,Course Content & Materials,3,0.375,2025
20253,Other,1,0.125,2025
