semester,category,comments_cnt,comments_prop,year
20184,"Assessments, Assignments & Grading",2,0.01818181818181818,2018
20184,Course Content & Materials,21,0.19090909090909092,2018
20184,"Course Technology, Organization & Logistics",3,0.02727272727272727,2018
20184,"Instructor's Communication, Feedback & Support",16,0.14545454545454545,2018
20184,Instructor's Teaching Approach & Expertise,25,0.22727272727272727,2018
20184,Learning Outcomes & Course Value,7,0.06363636363636363,2018
20184,Other,6,0.05454545454545454,2018
20184,Overall impression: course,7,0.06363636363636363,2018
20184,Overall impression: instructor,23,0.20909090909090908,2018
20191,Overall impression: course,3,0.09375,2019
20191,Other,9,0.28125,2019
20191,Learning Outcomes & Course Value,3,0.09375,2019
20191,Course Content & Materials,5,0.15625,2019
20191,"Instructor's Communication, Feedback & Support",3,0.09375,2019
20191,Instructor's Teaching Approach & Expertise,9,0.28125,2019
20193,Other,4,0.05405405405405406,2019
20193,Overall impression: instructor,18,0.24324324324324326,2019
20193,Overall impression: course,6,0.08108108108108109,2019
20193,Learning Outcomes & Course Value,5,0.06756756756756757,2019
20193,Instructor's Teaching Approach & Expertise,14,0.1891891891891892,2019
20193,"Instructor's Communication, Feedback & Support",8,0.10810810810810811,2019
20193,"Course Technology, Organization & Logistics",2,0.02702702702702703,2019
20193,Course Content & Materials,12,0.16216216216216217,2019
20193,"Assessments, Assignments & Grading",5,0.06756756756756757,2019
20194,Overall impression: instructor,9,0.12162162162162163,2019
20194,Overall impression: course,4,0.05405405405405406,2019
20194,Learning Outcomes & Course Value,8,0.10810810810810811,2019
20194,Other,7,0.0945945945945946,2019
20194,"Instructor's Communication, Feedback & Support",8,0.10810810810810811,2019
20194,"Course Technology, Organization & Logistics",2,0.02702702702702703,2019
20194,Course Content & Materials,14,0.1891891891891892,2019
20194,Instructor's Teaching Approach & Expertise,22,0.2972972972972973,2019
20202,Course Content & Materials,3,0.25,2020
20202,Instructor's Teaching Approach & Expertise,2,0.16666666666666666,2020
20202,Other,4,0.3333333333333333,2020
20202,Overall impression: course,3,0.25,2020
20203,Learning Outcomes & Course Value,10,0.06451612903225806,2020
20203,Overall impression: instructor,20,0.12903225806451613,2020
20203,Other,7,0.04516129032258064,2020
20203,Instructor's Teaching Approach & Expertise,31,0.2,2020
20203,Overall impression: course,9,0.05806451612903226,2020
20203,"Course Technology, Organization & Logistics",10,0.06451612903225806,2020
20203,Course Content & Materials,26,0.16774193548387098,2020
20203,"Assessments, Assignments & Grading",8,0.05161290322580645,2020
20203,"Instructor's Communication, Feedback & Support",34,0.21935483870967742,2020
20204,Overall impression: instructor,10,0.16393442622950818,2020
20204,Other,9,0.14754098360655737,2020
20204,Learning Outcomes & Course Value,2,0.03278688524590164,2020
20204,Overall impression: course,3,0.04918032786885246,2020
20204,"Instructor's Communication, Feedback & Support",9,0.14754098360655737,2020
20204,"Course Technology, Organization & Logistics",7,0.11475409836065574,2020
20204,Course Content & Materials,11,0.18032786885245902,2020
20204,Instructor's Teaching Approach & Expertise,10,0.16393442622950818,2020
20212,"Course Technology, Organization & Logistics",5,0.29411764705882354,2021
20212,"Instructor's Communication, Feedback & Support",4,0.23529411764705882,2021
20212,Instructor's Teaching Approach & Expertise,4,0.23529411764705882,2021
20212,Other,1,0.058823529411764705,2021
20212,Overall impression: course,1,0.058823529411764705,2021
20212,Overall impression: instructor,2,0.11764705882352941,2021
20213,Overall impression: instructor,17,0.1827956989247312,2021
20213,Overall impression: course,6,0.06451612903225806,2021
20213,Learning Outcomes & Course Value,7,0.07526881720430108,2021
20213,Other,12,0.12903225806451613,2021
20213,"Instructor's Communication, Feedback & Support",13,0.13978494623655913,2021
20213,Course Content & Materials,15,0.16129032258064516,2021
